id,pincode,city_id,created_by,updated_by,created_at,updated_at,country_master
135,122098,235,seed_data,seed_data,1696090682245626,1696090682245626,018b05dd-2983-7809-a2d1-95b3f1776eb3
136,122101,235,seed_data,seed_data,1696090682245641,1696090682245641,018b05dd-2983-7809-a2d1-95b3f1776eb3
137,122102,235,seed_data,seed_data,1696090682245656,1696090682245656,018b05dd-2983-7809-a2d1-95b3f1776eb3
138,122103,235,seed_data,seed_data,1696090682245671,1696090682245671,018b05dd-2983-7809-a2d1-95b3f1776eb3
139,122104,489,seed_data,seed_data,1696090682245686,1696090682245686,018b05dd-2983-7809-a2d1-95b3f1776eb3
140,122105,489,seed_data,seed_data,1696090682245709,1696090682245709,018b05dd-2983-7809-a2d1-95b3f1776eb3
141,122107,489,seed_data,seed_data,1696090682245731,1696090682245731,018b05dd-2983-7809-a2d1-95b3f1776eb3
142,122108,489,seed_data,seed_data,1696090682245753,1696090682245753,018b05dd-2983-7809-a2d1-95b3f1776eb3
143,122413,235,seed_data,seed_data,1696090682245775,1696090682245775,018b05dd-2983-7809-a2d1-95b3f1776eb3
144,122414,235,seed_data,seed_data,1696090682245790,1696090682245790,018b05dd-2983-7809-a2d1-95b3f1776eb3
145,122502,235,seed_data,seed_data,1696090682245805,1696090682245805,018b05dd-2983-7809-a2d1-95b3f1776eb3
146,122503,235,seed_data,seed_data,1696090682245820,1696090682245820,018b05dd-2983-7809-a2d1-95b3f1776eb3
147,122504,235,seed_data,seed_data,1696090682245835,1696090682245835,018b05dd-2983-7809-a2d1-95b3f1776eb3
148,122505,235,seed_data,seed_data,1696090682245850,1696090682245850,018b05dd-2983-7809-a2d1-95b3f1776eb3
149,122506,235,seed_data,seed_data,1696090682245865,1696090682245865,018b05dd-2983-7809-a2d1-95b3f1776eb3
150,122508,489,seed_data,seed_data,1696090682245895,1696090682245895,018b05dd-2983-7809-a2d1-95b3f1776eb3
151,123001,406,seed_data,seed_data,1696090682245916,1696090682245916,018b05dd-2983-7809-a2d1-95b3f1776eb3
152,123021,406,seed_data,seed_data,1696090682245936,1696090682245936,018b05dd-2983-7809-a2d1-95b3f1776eb3
153,123023,406,seed_data,seed_data,1696090682245956,1696090682245956,018b05dd-2983-7809-a2d1-95b3f1776eb3
154,123024,406,seed_data,seed_data,1696090682245975,1696090682245975,018b05dd-2983-7809-a2d1-95b3f1776eb3
155,123027,406,seed_data,seed_data,1696090682245995,1696090682245995,018b05dd-2983-7809-a2d1-95b3f1776eb3
156,123028,406,seed_data,seed_data,1696090682246014,1696090682246014,018b05dd-2983-7809-a2d1-95b3f1776eb3
157,123029,406,seed_data,seed_data,1696090682246037,1696090682246037,018b05dd-2983-7809-a2d1-95b3f1776eb3
158,123031,406,seed_data,seed_data,1696090682246057,1696090682246057,018b05dd-2983-7809-a2d1-95b3f1776eb3
159,123034,406,seed_data,seed_data,1696090682246076,1696090682246076,018b05dd-2983-7809-a2d1-95b3f1776eb3
160,123035,558,seed_data,seed_data,1696090682246096,1696090682246096,018b05dd-2983-7809-a2d1-95b3f1776eb3
161,123101,558,seed_data,seed_data,1696090682246131,1696090682246131,018b05dd-2983-7809-a2d1-95b3f1776eb3
162,123102,558,seed_data,seed_data,1696090682246165,1696090682246165,018b05dd-2983-7809-a2d1-95b3f1776eb3
